,mother,frames,daughters,edges,area,width,length,perimeter,center
0,0,"[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18.
 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36.
 37. 38. 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3.  0.  0.  0.  0.  0.  0.
  5.  0.  0.  0.  0.  0. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0. 26.  0.
  0.  0.  0.  0.  0.  0.  0. 40.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 565.   624.5  688.   734.   772.   828.   932.5 1011.5 1089.5 1190.
 1300.5  774.5  841.5  929.  1032.5 1169.  1275.  1381.   814.   871.5
 1025.5 1163.5 1267.5 1365.   698.   732.5  771.   811.   849.5  864.5
  908.  1000.5 1102.  1177.5  599.5  620.5  618.5  707.5  747.   822.
  891.   946.5  900.5  534.   567.5]","[14.        14.        15.611453  15.920806  15.67858   15.689291
 15.431641  15.235036  15.34211   14.936002  14.859592  15.214535
 15.172421  14.525681  14.304591  14.872062  16.449091  16.765436
 15.220266  16.006792  16.323967  16.681393  17.065962  17.641882
 15.12086   15.28976   15.089878  15.396797  15.15206   14.675468
 15.238925  15.353968  16.406988  17.321457  14.0681925 13.939529
 14.000002  14.367988  14.976906  15.397802  16.009613  15.495159
 15.338777  14.422205  14.298542 ]","[ 46.        50.        52.16307   57.422234  61.759975  65.698906
  73.73322   82.03044   88.95504   97.163635 110.163734  63.378334
  68.46149   77.30111   83.06984   92.25817  102.369095 115.32693
  65.153786  70.12684   79.393845  86.605576  94.0218   101.783066
  56.02857   57.380737  62.18568   65.72563   69.058426  71.16386
  74.29822   81.48447   89.871796  98.85814   51.014137  52.994244
  54.40001   59.033688  62.403778  65.89107   70.49612   75.57842
  81.69803   45.76277   49.209267]","[ 25.  22.  28.  52.  61.  56.  66.  63.  81.  78.  89.  45.  40.  44.
  29.  32.  54.  83.  33.  60. 104. 103. 110. 111.  53.  44.  70.  80.
  91. 107.  97. 108.  98.  98.  62.  62.  59.  53.  64.  92.  90.  92.
  97.  54.  68.]","[[930. 851.]
 [919. 853.]
 [912. 855.]
 [902. 861.]
 [894. 866.]
 [888. 868.]
 [880. 874.]
 [879. 879.]
 [872. 882.]
 [866. 881.]
 [862. 888.]
 [859. 863.]
 [858. 858.]
 [855. 857.]
 [854. 851.]
 [853. 848.]
 [849. 851.]
 [850. 842.]
 [846. 813.]
 [844. 809.]
 [835. 811.]
 [829. 808.]
 [827. 810.]
 [826. 813.]
 [837. 791.]
 [834. 789.]
 [830. 787.]
 [829. 786.]
 [827. 784.]
 [828. 782.]
 [826. 785.]
 [825. 782.]
 [823. 778.]
 [821. 775.]
 [838. 759.]
 [837. 765.]
 [836. 760.]
 [837. 762.]
 [834. 759.]
 [830. 760.]
 [828. 754.]
 [824. 751.]
 [818. 745.]
 [837. 723.]
 [835. 713.]]"
1,0,"[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12. 13. 14. 15. 16. 17. 18.
 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36.
 37. 38. 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  0.
  0.  0.  7.  0.  0.  0.  0.  0. 13.  0.  0.  0.  0.  0.  0. 19.  0.  0.
  0.  0.  0.  0.  0.  0. 34.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 553.5  585.   650.   686.5  759.   839.5  930.  1010.5 1093.5 1205.
 1329.  1458.   798.   874.   968.5 1037.  1150.5 1296.5 1399.  1605.5
  863.   936.5  999.5 1179.  1275.  1312.   687.5  726.   781.5  831.
  901.   973.5 1052.   562.5  594.5  617.5  687.   732.5  806.5  904.
  954.5  939.5  456.5  467.5  482. ]","[14.687394  14.687395  15.220303  15.119469  15.550178  15.700302
 15.629152  15.004629  14.657646  14.975431  15.652475  16.895947
 14.775897  14.6858425 14.        14.188655  14.916733  15.182114
 15.692288  16.567923  15.        15.        14.994297  16.107828
 15.684885  15.509125  15.        14.7690325 13.931491  14.
 14.52408   15.311378  15.411479  14.129528  14.        13.212455
 13.68997   13.629102  13.953064  15.331335  15.359669  15.089695
 13.576774  12.851119  12.649111 ]","[ 46.71254   49.583763  53.1463    56.2227    60.92226   66.08358
  73.330284  81.019714  88.710625  97.27905  106.43684  118.16765
  65.29349   69.58486   78.        86.171104  94.3398   104.479485
 113.35766  125.48027   69.        77.        82.32464   92.25044
 101.198265 109.347     56.        60.23242   66.09309   71.
  74.05879   82.34773   90.17699   49.353848  52.        56.196976
  60.48478   64.108734  68.423676  74.56875   79.11594   83.52465
  42.602978  45.328133  45.853024]","[ 41.  46.  37.  47.  43.  55.  62.  74.  80.  88.  94.  86.  32.  37.
  28.  37.  44.  50.  51.  62.  39.  47.  49.  55.  48.  77.  32.  36.
  33.  40.  37.  35.  54.  38.  32.  38.  40.  36.  53.  88. 112. 109.
  64.  44.  56.]","[[936. 904.]
 [926. 909.]
 [920. 913.]
 [914. 909.]
 [907. 909.]
 [903. 908.]
 [896. 907.]
 [896. 906.]
 [890. 902.]
 [885. 895.]
 [882. 895.]
 [877. 894.]
 [880. 857.]
 [877. 854.]
 [876. 852.]
 [875. 854.]
 [872. 859.]
 [873. 857.]
 [869. 862.]
 [867. 863.]
 [865. 826.]
 [864. 818.]
 [865. 819.]
 [867. 820.]
 [867. 825.]
 [866. 823.]
 [866. 798.]
 [867. 797.]
 [867. 802.]
 [872. 799.]
 [872. 798.]
 [872. 791.]
 [874. 782.]
 [874. 759.]
 [873. 757.]
 [874. 761.]
 [873. 753.]
 [874. 752.]
 [876. 747.]
 [878. 754.]
 [881. 754.]
 [885. 760.]
 [875. 736.]
 [874. 736.]
 [875. 732.]]"
2,1,"[12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29.
 30. 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0.  0.  6.  0.  0.  0.  0.  0. 12.  0.  0.  0.  0.
  0.  0.  0.  0. 25.  0.  0.  0.  0.  0.  0.  0.  0.  0. 43.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 665.   742.   816.   934.5 1050.5 1206.5 1312.   676.5  772.   836.
  974.5 1062.5 1135.5  631.5  672.5  751.   808.5  829.5  853.5  835.5
  873.5  933.   443.5  483.   522.   561.5  602.   638.   656.   712.5
  757.5  787.5  393.5  445.5]","[14.6883    15.151659  15.1626    15.696498  15.        15.
 15.345472  13.612738  14.39271   13.        14.        14.994217
 17.131397  16.        15.244754  15.51787   15.507601  14.911518
 13.999998  13.967873  13.13902   14.494464  12.578226  12.747307
 13.186612  13.323972  13.5081215 14.033348  13.154008  12.805177
 12.6756525 13.297993  11.750077  12.323444 ]","[ 55.899742  61.960613  68.55368   77.1031    87.        97.
 106.197945  59.286366  66.06899   72.        81.        87.105286
  96.12251   51.        55.201736  61.28496   66.18707   68.133514
  70.999985  74.10808   79.05285   85.58061   43.18013   46.067005
  48.762997  51.922287  54.400894  57.003685  61.281155  66.978806
  69.780106  74.651695  40.456852  42.802803]","[52. 44. 49. 46. 42. 42. 42. 30. 32. 22. 30. 37. 64. 43. 38. 34. 39. 37.
 33. 42. 45. 44. 38. 54. 58. 60. 66. 79. 84. 52. 49. 62. 30. 39.]","[[ 851.  925.]
 [ 848.  929.]
 [ 844.  935.]
 [ 840.  934.]
 [ 839.  935.]
 [ 835.  935.]
 [ 836.  935.]
 [ 834.  974.]
 [ 831.  978.]
 [ 829.  971.]
 [ 827.  970.]
 [ 826.  984.]
 [ 826.  991.]
 [ 823. 1022.]
 [ 819. 1018.]
 [ 812. 1028.]
 [ 807. 1035.]
 [ 803. 1036.]
 [ 804. 1034.]
 [ 801. 1041.]
 [ 797. 1047.]
 [ 795. 1041.]
 [ 795. 1067.]
 [ 790. 1066.]
 [ 790. 1070.]
 [ 787. 1063.]
 [ 788. 1067.]
 [ 788. 1069.]
 [ 785. 1075.]
 [ 786. 1076.]
 [ 787. 1080.]
 [ 786. 1084.]
 [ 800. 1105.]
 [ 800. 1108.]]"
3,2,"[13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30.
 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  8.  0.  0.  0.  0.  0. 15.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 39.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 707.   783.   855.   899.5 1080.5 1181.5 1330.5 1479.5 1647.5  868.
  951.  1086.5 1157.  1253.5 1342.   692.   714.   721.   761.5  794.5
  812.   878.   928.5  946.5  961.5  983.5 1072.5 1149.  1137.5 1132.5
  606.   618.5  660.5]","[14.946409  15.059336  14.604091  14.311265  15.838241  14.922854
 15.        15.172055  15.432615  15.        15.248544  15.898846
 15.5589905 15.600406  15.389797  14.524159  14.468741  13.967009
 14.293128  13.879408  14.553315  14.995946  14.976903  14.9926815
 14.43415   14.258006  14.720623  14.204926  15.293282  16.597439
 12.824152  12.164576  12.788491 ]","[ 61.252342  64.016495  71.56666   77.32521   87.416595  96.04294
 107.       118.26542  131.03868   71.        78.08278   85.38594
  91.69872   97.72067  108.43071   59.34603   60.401257  62.418083
  65.269196  65.82929   68.599976  73.584755  77.65802   80.273315
  82.29033   85.548035  89.34517   95.729805 100.53377  104.980225
  57.47692   60.974934  65.25758 ]","[ 67.  54.  45.  35.  44.  42.  40.  54.  55.  34.  61. 119. 135. 124.
 110.  59.  32.  40.  61.  40.  68.  81.  89.  61.  55.  65. 108. 150.
 120. 127.  56.  46.  45.]","[[ 870.  923.]
 [ 866.  926.]
 [ 862.  930.]
 [ 860.  937.]
 [ 857.  950.]
 [ 858.  953.]
 [ 856.  971.]
 [ 852.  983.]
 [ 850.  974.]
 [ 846. 1007.]
 [ 842. 1026.]
 [ 847. 1030.]
 [ 851. 1024.]
 [ 851. 1023.]
 [ 850. 1027.]
 [ 834. 1053.]
 [ 834. 1053.]
 [ 838. 1055.]
 [ 837. 1064.]
 [ 839. 1068.]
 [ 846. 1069.]
 [ 848. 1074.]
 [ 848. 1078.]
 [ 851. 1084.]
 [ 851. 1078.]
 [ 855. 1083.]
 [ 861. 1083.]
 [ 864. 1090.]
 [ 872. 1082.]
 [ 876. 1078.]
 [ 866. 1109.]
 [ 869. 1113.]
 [ 870. 1115.]]"
4,1,"[19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36.
 37. 38. 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  9.  0.  0.  0.  0.  0.  0.  0.  0. 17.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 719.   813.5  937.5 1026.5 1134.   576.   661.5  743.   819.5  868.5
  911.   978.  1015.5 1006.   509.   552.   601.5  616.5  664.5  710.5
  762.   813.   851.   904.   979.5 1048.5 1068. ]","[14.326174 14.802336 15.589462 16.763578 17.597982 14.471559 15.
 15.28037  15.256272 15.231456 15.564529 16.34834  16.60841  16.105139
 14.708213 14.602503 15.018851 14.800142 14.416034 14.768585 15.183493
 15.800556 16.258535 16.770218 16.427969 16.568487 16.436178]","[59.83648  67.86607  76.10421  80.09959  91.170265 47.11585  52.
 59.29448  64.49806  67.87803  70.998985 74.06341  75.84859  81.598114
 43.077793 46.18577  49.519703 53.011414 56.43619  59.54856  64.062485
 67.29866  70.491295 74.901085 80.6464   86.64255  93.62598 ]","[ 44.  55.  43.  50.  64.  37.  32.  47.  43.  42.  53.  58.  55.  69.
  32.  30.  66.  65.  81.  86.  84.  86.  92.  94. 105. 102. 115.]","[[849. 882.]
 [848. 885.]
 [845. 863.]
 [843. 850.]
 [843. 852.]
 [845. 882.]
 [845. 888.]
 [844. 888.]
 [841. 893.]
 [841. 895.]
 [841. 895.]
 [845. 894.]
 [844. 899.]
 [844. 900.]
 [846. 926.]
 [844. 932.]
 [844. 938.]
 [845. 940.]
 [847. 929.]
 [851. 928.]
 [854. 927.]
 [852. 933.]
 [853. 933.]
 [852. 940.]
 [846. 951.]
 [846. 951.]
 [845. 952.]]"
5,3,"[19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36.
 37. 38. 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0. 11.  0.  0.  0.  0.  0.  0.  0.  0. 20.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 693.5  716.5  848.5  895.5  992.5 1072.   518.   556.   558.5  613.
  649.5  679.5  707.5  717.5  716.5  368.   376.5  384.5  408.5  416.5
  434.5  482.   524.   516.5  554.   572.5  576.5]","[16.477503  15.483526  15.256272  15.160182  14.922081  15.068511
 15.74192   15.148855  14.140212  14.112156  14.622604  14.489287
 15.        15.        16.090769  14.567661  13.821928  14.
 14.        14.200325  14.015924  14.579019  15.4931755 14.424979
 14.168907  14.313537  13.859294 ]","[53.506622 59.033863 68.46717  74.3282   81.221924 91.08279  43.379723
 47.164474 49.477627 52.4604   54.149326 56.112362 57.       58.
 61.543484 31.99564  32.987385 32.       35.       36.277393 37.70656
 40.791035 43.14555  44.547726 47.37173  48.50219  50.34601 ]","[41. 60. 49. 44. 41. 52. 36. 43. 35. 32. 36. 27. 37. 43. 56. 32. 27. 27.
 28. 33. 30. 36. 40. 42. 31. 35. 44.]","[[832. 913.]
 [831. 910.]
 [827. 894.]
 [824. 887.]
 [823. 894.]
 [825. 891.]
 [825. 858.]
 [825. 841.]
 [823. 835.]
 [824. 831.]
 [826. 828.]
 [831. 824.]
 [831. 827.]
 [831. 824.]
 [834. 821.]
 [832. 798.]
 [833. 796.]
 [835. 800.]
 [834. 797.]
 [834. 801.]
 [835. 795.]
 [836. 795.]
 [837. 791.]
 [838. 788.]
 [837. 776.]
 [839. 777.]
 [839. 770.]]"
6,2,"[21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38.
 39. 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 18.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 831.5  910.  1000.5 1112.5 1189.  1233.  1293.  1361.5 1370.  1393.
 1467.  1496.   768.5  892.5  976.5 1019.5 1073.5 1154.  1240.5 1295.5
 1370.5 1387.5 1444.  1502.5 1594.5]","[15.274064 15.479122 15.73082  15.       16.000698 16.877623 17.372263
 17.494982 16.692188 16.365067 16.139914 16.051386 16.00735  17.0763
 17.055374 16.941319 16.734959 16.7687   16.685871 16.629673 16.
 17.658575 17.5983   16.757414 16.822937]","[ 65.32758   71.415504  79.22749   87.        93.16429   95.44195
  99.798386 104.92311  110.10167  113.20174  117.55049  120.88007
  63.78687   71.15125   76.39582   81.48581   85.615074  90.74825
  96.19686   99.19355  105.       110.03632  117.344925 124.23825
 132.02896 ]","[ 40.  38.  50.  35.  47.  50.  61.  96. 112. 132. 131. 140.  77.  78.
  81.  76.  86.  76.  67.  58.  51.  56.  64.  64.  55.]","[[ 869.  899.]
 [ 866.  899.]
 [ 865.  907.]
 [ 866.  917.]
 [ 866.  929.]
 [ 865.  932.]
 [ 861.  942.]
 [ 859.  952.]
 [ 855.  968.]
 [ 857.  975.]
 [ 854.  986.]
 [ 851.  993.]
 [ 842. 1027.]
 [ 841. 1037.]
 [ 839. 1041.]
 [ 839. 1046.]
 [ 838. 1039.]
 [ 838. 1044.]
 [ 840. 1047.]
 [ 840. 1058.]
 [ 843. 1067.]
 [ 847. 1079.]
 [ 848. 1092.]
 [ 850. 1100.]
 [ 850. 1105.]]"
7,4,"[22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39.
 40. 41. 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0. 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 31.
  0.  0.  0.  0.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[ 821.5  907.   995.  1039.  1093.   520.   533.   560.   572.   607.5
  653.5  721.5  745.   815.   867.   931.5  963.5  508.5  571.   610.5
  626.5  639.5  670.   672. ]","[14.203973  14.885565  14.999998  15.653594  15.634779  13.064765
 13.0809555 12.911891  13.418986  13.323975  13.520013  14.067066
 14.508317  14.206023  14.214724  14.31741   15.047719  14.015924
 14.859319  15.150283  15.        15.526301  15.822983  14.636099 ]","[68.06613  75.059944 79.999985 84.439095 89.57544  47.033157 48.50642
 51.372845 51.746418 54.80686  58.240063 61.60405  66.05681  70.020004
 73.54574  79.07115  87.28264  45.148643 48.23301  50.32477  54.
 53.60035  55.429886 57.552116]","[40. 37. 45. 57. 54. 40. 53. 64. 61. 63. 70. 66. 54. 64. 71. 76. 89. 36.
 38. 30. 38. 50. 34. 40.]","[[ 848.  931.]
 [ 847.  943.]
 [ 846.  954.]
 [ 844.  966.]
 [ 842.  972.]
 [ 840.  956.]
 [ 838.  960.]
 [ 837.  963.]
 [ 839.  965.]
 [ 837.  972.]
 [ 835.  977.]
 [ 833.  985.]
 [ 830.  994.]
 [ 826. 1004.]
 [ 827. 1010.]
 [ 826. 1002.]
 [ 826. 1005.]
 [ 828.  981.]
 [ 826.  987.]
 [ 827.  989.]
 [ 826.  996.]
 [ 821. 1003.]
 [ 821. 1006.]
 [ 818. 1006.]]"
8,5,"[24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34. 35. 36. 37. 38. 39. 40. 41.
 42. 43. 44. 45.]","[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 16.  0.  0.  0.  0.  0.  0.  0.  0.
  0. 35.  0.  0.]","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[590.5 612.  625.5 681.  735.5 779.  816.  838.5 853.5 373.5 420.  450.
 481.  527.5 585.  635.  678.  708.5 711.5 353.5 324.  366.5]","[16.263456 15.       14.       14.438381 15.139404 14.824391 14.915261
 13.506858 14.217156 13.580362 14.       14.       13.822973 14.
 14.240919 15.389363 15.52258  15.423077 14.938398 14.       12.823122
 13.281566]","[46.66905  50.       53.       58.293278 61.322014 65.2314   67.08807
 71.02461  75.104965 34.131973 38.       40.       42.2573   46.
 51.14596  55.430206 58.508186 61.592804 64.55198  31.       32.3866
 35.101276]","[41. 30. 25. 38. 32. 40. 36. 22. 49. 28. 24. 33. 28. 34. 40. 46. 47. 43.
 46. 25. 39. 55.]","[[845. 830.]
 [846. 829.]
 [846. 825.]
 [844. 825.]
 [845. 824.]
 [846. 823.]
 [851. 820.]
 [852. 823.]
 [852. 822.]
 [853. 793.]
 [853. 788.]
 [854. 786.]
 [856. 791.]
 [855. 786.]
 [855. 791.]
 [856. 786.]
 [858. 786.]
 [859. 784.]
 [860. 782.]
 [859. 759.]
 [857. 745.]
 [856. 738.]]"
9,1,[25. 26. 27. 28. 29. 30. 31. 32. 33. 34.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0. 21.],"['', '', '', '', '', '', '', '', '', '']",[ 581.5  590.   666.   713.   787.   824.5  884.   936.5 1014.5  510. ],"[15.054275 14.187603 14.802335 15.289106 16.249887 17.0763   16.76007
 16.762896 16.835936 15.      ]","[47.004757 49.683487 54.583614 56.71765  60.148834 61.348186 66.72405
 71.756966 79.38113  41.      ]",[64. 38. 48. 57. 72. 71. 85. 76. 81. 32.],"[[807. 840.]
 [804. 841.]
 [801. 843.]
 [801. 842.]
 [800. 840.]
 [804. 837.]
 [803. 841.]
 [802. 841.]
 [804. 840.]
 [797. 863.]]"
